_vname_,_label_,_x_,_yhat_,_ids_
Plec,Random Forest,0.0,0.13375,0
Plec,Random Forest,0.01,0.13375,0
Plec,Random Forest,0.02,0.13375,0
Plec,Random Forest,0.03,0.13375,0
Plec,Random Forest,0.04,0.13375,0
Plec,Random Forest,0.05,0.13375,0
Plec,Random Forest,0.06,0.13375,0
Plec,Random Forest,0.07,0.13375,0
Plec,Random Forest,0.08,0.13375,0
Plec,Random Forest,0.09,0.13375,0
Plec,Random Forest,0.1,0.13375,0
Plec,Random Forest,0.11,0.13375,0
Plec,Random Forest,0.12,0.13375,0
Plec,Random Forest,0.13,0.13375,0
Plec,Random Forest,0.14,0.13375,0
Plec,Random Forest,0.15,0.13375,0
Plec,Random Forest,0.16,0.13375,0
Plec,Random Forest,0.17,0.13375,0
Plec,Random Forest,0.18,0.13375,0
Plec,Random Forest,0.19,0.13375,0
Plec,Random Forest,0.2,0.13375,0
Plec,Random Forest,0.21,0.13375,0
Plec,Random Forest,0.22,0.13375,0
Plec,Random Forest,0.23,0.13375,0
Plec,Random Forest,0.24,0.13375,0
Plec,Random Forest,0.25,0.13375,0
Plec,Random Forest,0.26,0.13375,0
Plec,Random Forest,0.27,0.13375,0
Plec,Random Forest,0.28,0.13375,0
Plec,Random Forest,0.29,0.13375,0
Plec,Random Forest,0.3,0.13375,0
Plec,Random Forest,0.31,0.13375,0
Plec,Random Forest,0.32,0.13375,0
Plec,Random Forest,0.33,0.13375,0
Plec,Random Forest,0.34,0.13375,0
Plec,Random Forest,0.35000000000000003,0.13375,0
Plec,Random Forest,0.36,0.13375,0
Plec,Random Forest,0.37,0.13375,0
Plec,Random Forest,0.38,0.13375,0
Plec,Random Forest,0.39,0.13375,0
Plec,Random Forest,0.4,0.13375,0
Plec,Random Forest,0.41000000000000003,0.13375,0
Plec,Random Forest,0.42,0.13375,0
Plec,Random Forest,0.43,0.13375,0
Plec,Random Forest,0.44,0.13375,0
Plec,Random Forest,0.45,0.13375,0
Plec,Random Forest,0.46,0.13375,0
Plec,Random Forest,0.47000000000000003,0.13375,0
Plec,Random Forest,0.48,0.13375,0
Plec,Random Forest,0.49,0.13375,0
Plec,Random Forest,0.5,0.13375,0
Plec,Random Forest,0.51,0.1425,0
Plec,Random Forest,0.52,0.1425,0
Plec,Random Forest,0.53,0.1425,0
Plec,Random Forest,0.54,0.1425,0
Plec,Random Forest,0.55,0.1425,0
Plec,Random Forest,0.56,0.1425,0
Plec,Random Forest,0.5700000000000001,0.1425,0
Plec,Random Forest,0.58,0.1425,0
Plec,Random Forest,0.59,0.1425,0
Plec,Random Forest,0.6,0.1425,0
Plec,Random Forest,0.61,0.1425,0
Plec,Random Forest,0.62,0.1425,0
Plec,Random Forest,0.63,0.1425,0
Plec,Random Forest,0.64,0.1425,0
Plec,Random Forest,0.65,0.1425,0
Plec,Random Forest,0.66,0.1425,0
Plec,Random Forest,0.67,0.1425,0
Plec,Random Forest,0.68,0.1425,0
Plec,Random Forest,0.6900000000000001,0.1425,0
